时间戳,价格(CNY/吨),数据源
2026-07-13 10:44:37,155000.00,TradingEconomics
2026-07-13 10:44:39,155000.00,TradingEconomics
2026-07-13 10:44:39,155000.00,TradingEconomics
2026-07-13 10:50:02,155000.00,TradingEconomics
2026-07-13 11:00:02,155000.00,TradingEconomics
2026-07-13 11:10:00,155000.00,TradingEconomics
2026-07-13 11:20:01,155000.00,TradingEconomics
2026-07-13 11:30:02,155000.00,TradingEconomics
2026-07-13 11:40:04,155000.00,TradingEconomics
2026-07-13 11:50:01,155000.00,TradingEconomics
2026-07-13 12:00:01,155000.00,TradingEconomics
2026-07-13 12:10:00,154000.00,TradingEconomics
2026-07-13 12:20:00,154000.00,TradingEconomics
2026-07-13 12:30:01,154000.00,TradingEconomics
2026-07-13 12:40:00,154000.00,TradingEconomics
2026-07-13 12:50:00,154000.00,TradingEconomics
2026-07-13 13:00:00,154000.00,TradingEconomics
2026-07-13 13:10:00,154000.00,TradingEconomics
2026-07-13 13:20:00,154000.00,TradingEconomics
2026-07-13 13:30:01,154000.00,TradingEconomics
2026-07-13 13:40:03,154000.00,TradingEconomics
2026-07-13 13:50:00,154000.00,TradingEconomics
2026-07-13 14:00:01,154000.00,TradingEconomics
2026-07-13 14:10:00,154000.00,TradingEconomics
2026-07-13 14:20:00,154000.00,TradingEconomics
2026-07-13 14:30:01,154000.00,TradingEconomics
2026-07-13 14:40:00,154000.00,TradingEconomics
2026-07-13 14:50:03,154000.00,TradingEconomics
2026-07-13 15:00:02,154000.00,TradingEconomics
2026-07-13 15:10:00,154000.00,TradingEconomics
2026-07-13 15:20:03,154000.00,TradingEconomics
2026-07-13 15:30:04,154000.00,TradingEconomics
2026-07-13 15:40:01,154000.00,TradingEconomics
2026-07-13 15:50:01,154000.00,TradingEconomics
2026-07-13 16:00:03,154000.00,TradingEconomics
2026-07-13 16:10:02,154000.00,TradingEconomics
2026-07-13 16:20:02,154000.00,TradingEconomics
2026-07-13 16:30:01,154000.00,TradingEconomics
2026-07-13 16:40:02,154000.00,TradingEconomics
2026-07-13 16:50:03,154000.00,TradingEconomics
2026-07-13 17:00:03,154000.00,TradingEconomics
2026-07-13 17:10:03,154000.00,TradingEconomics
2026-07-13 17:20:00,154000.00,TradingEconomics
2026-07-13 17:30:01,154000.00,TradingEconomics
2026-07-13 18:40:45,154000.00,TradingEconomics
2026-07-13 18:50:02,154000.00,TradingEconomics
2026-07-13 19:10:05,154000.00,TradingEconomics
2026-07-13 19:20:02,154000.00,TradingEconomics
2026-07-13 19:30:00,154000.00,TradingEconomics
2026-07-13 19:40:04,154000.00,TradingEconomics
2026-07-13 19:50:00,154000.00,TradingEconomics
2026-07-13 20:00:01,154000.00,TradingEconomics
2026-07-13 20:10:02,154000.00,TradingEconomics
2026-07-13 20:20:02,154000.00,TradingEconomics
2026-07-13 20:30:01,154000.00,TradingEconomics
2026-07-13 20:40:01,154000.00,TradingEconomics
2026-07-13 20:50:04,154000.00,TradingEconomics
2026-07-13 21:00:04,154000.00,TradingEconomics
2026-07-13 21:10:04,154000.00,TradingEconomics
2026-07-13 21:20:00,154000.00,TradingEconomics
2026-07-13 21:30:00,154000.00,TradingEconomics
2026-07-13 21:40:04,154000.00,TradingEconomics
2026-07-13 21:50:00,154000.00,TradingEconomics
2026-07-13 22:00:00,154000.00,TradingEconomics
2026-07-13 22:10:00,154000.00,TradingEconomics
2026-07-13 22:20:00,154000.00,TradingEconomics
2026-07-13 22:30:00,154000.00,TradingEconomics
2026-07-13 22:40:03,154000.00,TradingEconomics
2026-07-13 22:50:01,154000.00,TradingEconomics
2026-07-13 23:00:00,154000.00,TradingEconomics
2026-07-13 23:10:00,154000.00,TradingEconomics
2026-07-13 23:20:00,154000.00,TradingEconomics
2026-07-13 23:30:00,154000.00,TradingEconomics
2026-07-13 23:40:01,154000.00,TradingEconomics
2026-07-13 23:50:02,154000.00,TradingEconomics
2026-07-14 00:10:01,154000.00,TradingEconomics
2026-07-14 00:20:03,154000.00,TradingEconomics
2026-07-14 00:30:00,154000.00,TradingEconomics
2026-07-14 00:40:04,154000.00,TradingEconomics
2026-07-14 00:50:04,154000.00,TradingEconomics
2026-07-14 01:00:00,154000.00,TradingEconomics
2026-07-14 01:10:04,154000.00,TradingEconomics
2026-07-14 01:20:00,154000.00,TradingEconomics
2026-07-14 01:30:04,154000.00,TradingEconomics
2026-07-14 01:40:05,154000.00,TradingEconomics
2026-07-14 01:50:00,154000.00,TradingEconomics
2026-07-14 02:00:00,154000.00,TradingEconomics
2026-07-14 02:10:00,154000.00,TradingEconomics
2026-07-14 02:20:02,154000.00,TradingEconomics
2026-07-14 02:30:00,154000.00,TradingEconomics
2026-07-14 02:40:00,154000.00,TradingEconomics
2026-07-14 02:50:00,154000.00,TradingEconomics
2026-07-14 03:00:00,154000.00,TradingEconomics
2026-07-14 03:10:03,154000.00,TradingEconomics
2026-07-14 03:20:00,154000.00,TradingEconomics
2026-07-14 03:30:00,154000.00,TradingEconomics
2026-07-14 03:40:02,154000.00,TradingEconomics
2026-07-14 03:50:00,154000.00,TradingEconomics
2026-07-14 04:00:00,154000.00,TradingEconomics
2026-07-14 04:10:02,154000.00,TradingEconomics
2026-07-14 04:20:00,154000.00,TradingEconomics
2026-07-14 04:30:05,154000.00,TradingEconomics
2026-07-14 04:40:00,154000.00,TradingEconomics
2026-07-14 04:50:00,154000.00,TradingEconomics
2026-07-14 05:00:00,154000.00,TradingEconomics
2026-07-14 05:10:02,154000.00,TradingEconomics
2026-07-14 05:20:03,154000.00,TradingEconomics
2026-07-14 05:30:02,154000.00,TradingEconomics
2026-07-14 05:40:03,154000.00,TradingEconomics
2026-07-14 05:50:00,154000.00,TradingEconomics
2026-07-14 06:00:00,154000.00,TradingEconomics
2026-07-14 06:10:02,154000.00,TradingEconomics
2026-07-14 06:20:03,154000.00,TradingEconomics
2026-07-14 06:30:00,154000.00,TradingEconomics
2026-07-14 06:40:00,154000.00,TradingEconomics
2026-07-14 06:50:00,154000.00,TradingEconomics
2026-07-14 07:00:02,154000.00,TradingEconomics
2026-07-14 07:10:00,154000.00,TradingEconomics
2026-07-14 07:20:05,154000.00,TradingEconomics
2026-07-14 07:30:01,154000.00,TradingEconomics
2026-07-14 07:40:00,154000.00,TradingEconomics
2026-07-14 07:50:00,154000.00,TradingEconomics
2026-07-14 08:40:05,154000.00,TradingEconomics
2026-07-14 08:50:05,154000.00,TradingEconomics
2026-07-14 09:00:00,154000.00,TradingEconomics
2026-07-14 09:10:00,154000.00,TradingEconomics
2026-07-14 09:20:00,154000.00,TradingEconomics
2026-07-14 09:30:00,154000.00,TradingEconomics
2026-07-14 09:40:01,154000.00,TradingEconomics
2026-07-14 09:50:04,154000.00,TradingEconomics
2026-07-14 10:00:04,154000.00,TradingEconomics
2026-07-14 10:10:00,154000.00,TradingEconomics
2026-07-14 10:20:03,154000.00,TradingEconomics
2026-07-14 10:30:00,154000.00,TradingEconomics
2026-07-14 10:40:00,154000.00,TradingEconomics
2026-07-14 10:50:01,154000.00,TradingEconomics
2026-07-14 11:00:04,154000.00,TradingEconomics
2026-07-14 11:10:04,154000.00,TradingEconomics
2026-07-14 11:20:00,154000.00,TradingEconomics
2026-07-14 11:30:04,154000.00,TradingEconomics
2026-07-14 11:40:03,154000.00,TradingEconomics
2026-07-14 11:50:00,154000.00,TradingEconomics
2026-07-14 12:00:00,154000.00,TradingEconomics
2026-07-14 12:10:04,154000.00,TradingEconomics
2026-07-14 12:20:00,154000.00,TradingEconomics
2026-07-14 12:30:00,154000.00,TradingEconomics
2026-07-14 12:40:01,154000.00,TradingEconomics
2026-07-14 12:50:00,154000.00,TradingEconomics
2026-07-14 13:00:01,154000.00,TradingEconomics
2026-07-14 13:10:04,154000.00,TradingEconomics
2026-07-14 13:20:00,154000.00,TradingEconomics
2026-07-14 13:30:00,154000.00,TradingEconomics
2026-07-14 13:40:03,154000.00,TradingEconomics
2026-07-14 13:50:00,154000.00,TradingEconomics
2026-07-14 14:00:01,154000.00,TradingEconomics
2026-07-14 14:10:01,154000.00,TradingEconomics
2026-07-14 14:30:03,154000.00,TradingEconomics
2026-07-14 14:40:01,154000.00,TradingEconomics
2026-07-14 14:50:05,154000.00,TradingEconomics
2026-07-14 15:00:02,154000.00,TradingEconomics
2026-07-14 15:10:04,154000.00,TradingEconomics
2026-07-14 15:20:00,154000.00,TradingEconomics
2026-07-14 15:30:00,154000.00,TradingEconomics
2026-07-14 15:40:02,154000.00,TradingEconomics
2026-07-14 15:50:00,154000.00,TradingEconomics
2026-07-14 16:00:00,154000.00,TradingEconomics
2026-07-14 16:10:00,154000.00,TradingEconomics
2026-07-14 16:20:00,154000.00,TradingEconomics
2026-07-14 16:30:01,154000.00,TradingEconomics
2026-07-14 16:40:02,154000.00,TradingEconomics
2026-07-14 16:50:04,154000.00,TradingEconomics
2026-07-14 17:00:02,154000.00,TradingEconomics
2026-07-14 17:10:01,154000.00,TradingEconomics
2026-07-14 17:20:00,154000.00,TradingEconomics
2026-07-14 17:30:00,154000.00,TradingEconomics
2026-07-14 18:37:43,154000.00,TradingEconomics
2026-07-14 18:40:02,154000.00,TradingEconomics
2026-07-14 18:50:00,154000.00,TradingEconomics
2026-07-14 19:00:00,154000.00,TradingEconomics
2026-07-14 19:10:03,154000.00,TradingEconomics
2026-07-14 19:20:00,154000.00,TradingEconomics
2026-07-14 19:30:03,154000.00,TradingEconomics
2026-07-14 19:40:00,154000.00,TradingEconomics
2026-07-14 19:50:01,154000.00,TradingEconomics
2026-07-14 20:00:05,154000.00,TradingEconomics
2026-07-14 20:10:05,154000.00,TradingEconomics
2026-07-14 20:20:04,154000.00,TradingEconomics
2026-07-14 20:30:05,154000.00,TradingEconomics
2026-07-14 20:40:00,154000.00,TradingEconomics
2026-07-14 20:50:03,154000.00,TradingEconomics
2026-07-14 21:00:03,154000.00,TradingEconomics
2026-07-14 21:10:03,154000.00,TradingEconomics
2026-07-14 21:20:00,154000.00,TradingEconomics
2026-07-14 21:30:05,154000.00,TradingEconomics
2026-07-14 21:40:01,154000.00,TradingEconomics
2026-07-14 22:10:03,154000.00,TradingEconomics
2026-07-14 22:20:00,154000.00,TradingEconomics
2026-07-14 22:30:01,154000.00,TradingEconomics
2026-07-14 22:40:00,154000.00,TradingEconomics
2026-07-14 22:50:00,154000.00,TradingEconomics
2026-07-14 23:00:01,154000.00,TradingEconomics
2026-07-14 23:10:02,154000.00,TradingEconomics
2026-07-14 23:20:00,154000.00,TradingEconomics
2026-07-14 23:30:00,154000.00,TradingEconomics
2026-07-14 23:40:00,154000.00,TradingEconomics
2026-07-14 23:50:03,154000.00,TradingEconomics
2026-07-15 00:00:00,154000.00,TradingEconomics
2026-07-15 00:10:01,154000.00,TradingEconomics
2026-07-15 00:20:00,154000.00,TradingEconomics
2026-07-15 00:30:01,154000.00,TradingEconomics
2026-07-15 00:40:00,154000.00,TradingEconomics
2026-07-15 00:50:00,154000.00,TradingEconomics
2026-07-15 01:00:00,154000.00,TradingEconomics
2026-07-15 01:10:00,154000.00,TradingEconomics
2026-07-15 01:20:03,154000.00,TradingEconomics
2026-07-15 01:30:04,154000.00,TradingEconomics
2026-07-15 01:40:00,154000.00,TradingEconomics
2026-07-15 01:50:03,154000.00,TradingEconomics
2026-07-15 02:00:01,154000.00,TradingEconomics
2026-07-15 02:10:00,154000.00,TradingEconomics
2026-07-15 02:20:00,154000.00,TradingEconomics
2026-07-15 02:30:00,154000.00,TradingEconomics
2026-07-15 02:40:00,154000.00,TradingEconomics
2026-07-15 02:50:00,154000.00,TradingEconomics
2026-07-15 03:00:00,154000.00,TradingEconomics
2026-07-15 03:10:01,154000.00,TradingEconomics
2026-07-15 03:20:02,154000.00,TradingEconomics
2026-07-15 03:30:04,154000.00,TradingEconomics
2026-07-15 03:40:00,154000.00,TradingEconomics
2026-07-15 03:50:05,154000.00,TradingEconomics
2026-07-15 04:00:04,154000.00,TradingEconomics
2026-07-15 04:10:00,154000.00,TradingEconomics
2026-07-15 04:20:00,154000.00,TradingEconomics
2026-07-15 04:30:02,154000.00,TradingEconomics
2026-07-15 04:40:02,154000.00,TradingEconomics
2026-07-15 04:50:00,154000.00,TradingEconomics
2026-07-15 05:00:00,154000.00,TradingEconomics
2026-07-15 05:10:01,154000.00,TradingEconomics
2026-07-15 05:20:00,154000.00,TradingEconomics
2026-07-15 05:30:00,154000.00,TradingEconomics
2026-07-15 05:40:00,154000.00,TradingEconomics
2026-07-15 05:50:00,154000.00,TradingEconomics
2026-07-15 06:00:03,154000.00,TradingEconomics
2026-07-15 06:10:02,154000.00,TradingEconomics
2026-07-15 06:20:00,154000.00,TradingEconomics
2026-07-15 06:30:00,154000.00,TradingEconomics
2026-07-15 06:40:02,154000.00,TradingEconomics
2026-07-15 06:50:00,154000.00,TradingEconomics
2026-07-15 07:00:00,154000.00,TradingEconomics
2026-07-15 07:10:00,154000.00,TradingEconomics
2026-07-15 07:20:01,154000.00,TradingEconomics
2026-07-15 07:30:00,154000.00,TradingEconomics
2026-07-15 07:40:01,154000.00,TradingEconomics
2026-07-15 07:50:01,154000.00,TradingEconomics
2026-07-15 08:40:03,154000.00,TradingEconomics
2026-07-15 08:50:01,154000.00,TradingEconomics
2026-07-15 09:00:05,154000.00,TradingEconomics
2026-07-15 09:10:00,154000.00,TradingEconomics
2026-07-15 09:20:00,154000.00,TradingEconomics
2026-07-15 09:30:00,154000.00,TradingEconomics
2026-07-15 09:40:00,154000.00,TradingEconomics
2026-07-15 09:50:00,154000.00,TradingEconomics
2026-07-15 10:00:02,154000.00,TradingEconomics
2026-07-15 10:10:00,154000.00,TradingEconomics
2026-07-15 10:20:00,154000.00,TradingEconomics
2026-07-15 10:30:00,154000.00,TradingEconomics
2026-07-15 10:40:02,154000.00,TradingEconomics
2026-07-15 10:50:01,154000.00,TradingEconomics
2026-07-15 11:00:00,154000.00,TradingEconomics
2026-07-15 11:10:02,154000.00,TradingEconomics
2026-07-15 11:20:03,154000.00,TradingEconomics
2026-07-15 11:30:00,154000.00,TradingEconomics
2026-07-15 11:40:01,154000.00,TradingEconomics
2026-07-15 11:50:01,154000.00,TradingEconomics
2026-07-15 12:00:00,154000.00,TradingEconomics
2026-07-15 12:10:00,154000.00,TradingEconomics
2026-07-15 12:20:00,154000.00,TradingEconomics
2026-07-15 12:30:01,154000.00,TradingEconomics
2026-07-15 12:40:00,154000.00,TradingEconomics
2026-07-15 12:50:03,154000.00,TradingEconomics
2026-07-15 13:00:01,154000.00,TradingEconomics
2026-07-15 13:10:04,154000.00,TradingEconomics
2026-07-15 13:20:00,154000.00,TradingEconomics
2026-07-15 13:30:05,154000.00,TradingEconomics
2026-07-15 13:40:01,154000.00,TradingEconomics
2026-07-15 13:50:01,154000.00,TradingEconomics
2026-07-15 14:00:05,154000.00,TradingEconomics
2026-07-15 14:10:05,154000.00,TradingEconomics
2026-07-15 14:20:04,154000.00,TradingEconomics
2026-07-15 14:30:05,154000.00,TradingEconomics
2026-07-15 14:40:04,154000.00,TradingEconomics
2026-07-15 14:50:05,154000.00,TradingEconomics
2026-07-15 15:00:02,154000.00,TradingEconomics
2026-07-15 15:10:04,154000.00,TradingEconomics
2026-07-15 15:20:04,154000.00,TradingEconomics
2026-07-15 15:30:05,154000.00,TradingEconomics
2026-07-15 15:40:05,154000.00,TradingEconomics
2026-07-15 15:50:05,154000.00,TradingEconomics
2026-07-15 16:00:05,154000.00,TradingEconomics
2026-07-15 16:10:00,154000.00,TradingEconomics
2026-07-15 16:20:03,154000.00,TradingEconomics
2026-07-15 16:30:05,154000.00,TradingEconomics
2026-07-15 16:40:05,154000.00,TradingEconomics
2026-07-15 16:50:05,154000.00,TradingEconomics
2026-07-15 17:00:01,154000.00,TradingEconomics
2026-07-15 17:10:02,154000.00,TradingEconomics
2026-07-15 17:20:01,154000.00,TradingEconomics
2026-07-15 17:30:02,154000.00,TradingEconomics
2026-07-15 18:44:39,154000.00,TradingEconomics
2026-07-15 18:50:05,154000.00,TradingEconomics
2026-07-15 19:00:00,154000.00,TradingEconomics
2026-07-15 19:10:05,154000.00,TradingEconomics
2026-07-15 19:20:05,154000.00,TradingEconomics
2026-07-15 19:30:03,154000.00,TradingEconomics
2026-07-15 19:40:03,154000.00,TradingEconomics
2026-07-15 19:50:02,154000.00,TradingEconomics
2026-07-15 20:00:00,154000.00,TradingEconomics
2026-07-15 20:10:05,154000.00,TradingEconomics
2026-07-15 20:20:01,154000.00,TradingEconomics
2026-07-15 20:30:04,154000.00,TradingEconomics
2026-07-15 20:40:00,154000.00,TradingEconomics
2026-07-15 20:50:05,154000.00,TradingEconomics
2026-07-15 21:00:00,154000.00,TradingEconomics
2026-07-15 21:10:05,154000.00,TradingEconomics
2026-07-15 21:20:00,154000.00,TradingEconomics
2026-07-15 21:30:00,154000.00,TradingEconomics
2026-07-15 21:40:00,154000.00,TradingEconomics
2026-07-15 21:50:05,154000.00,TradingEconomics
2026-07-15 22:00:04,154000.00,TradingEconomics
2026-07-15 22:10:01,154000.00,TradingEconomics
2026-07-15 22:20:00,154000.00,TradingEconomics
2026-07-15 22:30:00,154000.00,TradingEconomics
2026-07-15 22:40:00,154000.00,TradingEconomics
2026-07-15 22:50:03,154000.00,TradingEconomics
2026-07-15 23:00:00,154000.00,TradingEconomics
2026-07-15 23:10:00,154000.00,TradingEconomics
2026-07-15 23:20:00,154000.00,TradingEconomics
2026-07-15 23:30:00,154000.00,TradingEconomics
2026-07-15 23:40:02,154000.00,TradingEconomics
2026-07-15 23:50:04,154000.00,TradingEconomics
2026-07-16 00:00:00,154000.00,TradingEconomics
2026-07-16 00:10:00,154000.00,TradingEconomics
2026-07-16 00:20:04,154000.00,TradingEconomics
2026-07-16 00:30:00,154000.00,TradingEconomics
2026-07-16 00:40:00,154000.00,TradingEconomics
2026-07-16 00:50:00,154000.00,TradingEconomics
2026-07-16 01:00:01,154000.00,TradingEconomics
2026-07-16 01:10:04,154000.00,TradingEconomics
2026-07-16 01:20:00,154000.00,TradingEconomics
2026-07-16 01:30:00,154000.00,TradingEconomics
2026-07-16 01:40:00,154000.00,TradingEconomics
2026-07-16 01:50:02,154000.00,TradingEconomics
2026-07-16 02:00:00,154000.00,TradingEconomics
